datetime,open,high,low,close,volume
2022-10-04 18:30:00,1726.01000,1728.92000,1724.80000,1726.35000,2663
2022-10-04 18:45:00,1726.34000,1726.42000,1723.00000,1725.77000,2275
2022-10-04 19:00:00,1725.80000,1727.31000,1724.69000,1727.01000,1971
2022-10-04 19:15:00,1727.02000,1727.85000,1725.72000,1727.09000,1739
2022-10-04 19:30:00,1727.21000,1729.49000,1726.78000,1727.25000,1743
2022-10-04 19:45:00,1727.26000,1727.33000,1722.99000,1723.32000,2099
2022-10-04 20:00:00,1723.30000,1723.63000,1720.21000,1720.22000,2088
2022-10-04 20:15:00,1720.23000,1722.51000,1720.07000,1721.87000,2006
2022-10-04 20:30:00,1721.93000,1722.61000,1720.67000,1721.77000,1503
2022-10-04 20:45:00,1721.86000,1723.74000,1721.86000,1723.50000,1455
2022-10-04 21:00:00,1723.48000,1724.43000,1722.77000,1723.67000,1278
2022-10-04 21:15:00,1723.67000,1724.82000,1723.08000,1723.95000,1312
2022-10-04 21:30:00,1723.94000,1725.18000,1723.84000,1724.17000,1410
2022-10-04 21:45:00,1724.22000,1726.18000,1723.99000,1726.11000,1238
2022-10-04 22:00:00,1726.10000,1726.65000,1722.65000,1723.48000,1623
2022-10-04 22:15:00,1723.40000,1726.04000,1723.40000,1725.12000,1332
2022-10-04 22:30:00,1725.12000,1725.98000,1724.36000,1725.90000,1347
2022-10-04 22:45:00,1725.89000,1725.89000,1724.16000,1724.84000,1488
2022-10-04 23:00:00,1724.84000,1725.89000,1724.73000,1725.26000,637
2022-10-04 23:15:00,1725.26000,1726.33000,1724.89000,1725.70000,469
2022-10-04 23:30:00,1725.69000,1726.23000,1725.29000,1726.05000,375
2022-10-04 23:45:00,1726.03000,1726.48000,1725.57000,1726.34000,303
2022-10-05 01:00:00,1724.98000,1725.39000,1724.44000,1725.30000,217
2022-10-05 01:15:00,1725.30000,1726.08000,1725.19000,1725.73000,315
2022-10-05 01:30:00,1725.73000,1725.73000,1724.96000,1725.71000,184
