time_ms,rate
1667203200000,0.0001
1667232000010,-2.88e-06
1667260800000,7.95e-06
1667289600000,-5.701e-05
1667318400000,1.321e-05
1667347200000,7.678e-05
1667376000000,2.913e-05
1667404800019,5.813e-05
1667433600011,-8.892e-05
1667462400016,-7.732e-05
1667491200005,2.55e-06
1667520000000,1.398e-05
1667548800004,9.293e-05
1667577600020,0.0001
1667606400009,9.19e-05
1667635200007,1.474e-05
1667664000018,5.826e-05
1667692800009,8.014e-05
1667721600000,0.0001
1667750400010,4.026e-05
1667779200012,2.594e-05
1667808000014,-2.72e-06
1667836800006,0.0001
1667865600000,-5.728e-05
1667894400001,-0.00011539
1667923200005,7.883e-05
1667952000000,-0.00038496
1667980800013,-0.00012169
1668009600004,-0.00054682
1668038400006,-0.00060149
1668067200000,-0.000543
1668096000015,-0.00015464
1668124800000,-0.00016788
1668153600015,-0.00013634
1668182400027,2.873e-05
1668211200007,9.985e-05
1668240000016,4.863e-05
1668268800000,9.984e-05
1668297600004,-9.28e-06
1668326400000,-8.449e-05
1668355200017,-1.748e-05
1668384000000,2.81e-05
1668412800000,2.254e-05
1668441600000,5.237e-05
1668470400014,-8.644e-05
1668499200009,4.951e-05
1668528000010,-4.197e-05
1668556800011,-9.137e-05
1668585600004,1.19e-06
1668614400008,-4.556e-05
1668643200000,-9.394e-05
1668672000000,2.558e-05
1668700800006,-0.00010849
1668729600004,-8.46e-05
1668758400016,-6.951e-05
1668787200000,-5.327e-05
1668816000000,6.481e-05
1668844800004,4.413e-05
1668873600024,5.99e-05
1668902400015,3.77e-06
1668931200004,5.73e-05
1668960000000,-2.008e-05
1668988800006,-0.00020459
1669017600015,-2.17e-05
1669046400000,4.666e-05
1669075200000,-6.623e-05
1669104000000,-2.821e-05
1669132800000,6.368e-05
1669161600000,6.088e-05
1669190400011,-4.079e-05
1669219200014,-9.414e-05
1669248000007,4.96e-05
1669276800014,-6.135e-05
1669305600013,3.796e-05
1669334400004,5.572e-05
1669363200015,5.499e-05
1669392000000,-3.074e-05
1669420800011,-4.472e-05
1669449600000,-5.666e-05
1669478400000,-6.554e-05
1669507200012,-4.687e-05
1669536000000,-0.00011497
1669564800003,3.854e-05
1669593600015,3.42e-06
1669622400004,-2.557e-05
1669651200011,-0.00012317
1669680000000,3.832e-05
1669708800015,2.946e-05
1669737600000,0.0001
1669766400007,9.218e-05
1669795200000,0.0001
1669824000015,0.0001
1669852800001,-1.967e-05
1669881600006,3.623e-05
1669910400000,0.0001
1669939200001,0.0001
1669968000016,-2.44e-06
1669996800017,4.87e-05
1670025600006,-4.81e-06
1670054400000,-2.779e-05
1670083200011,-2.251e-05
1670112000006,-4.991e-05
1670140800000,-1.49e-06
1670169600006,3.593e-05
1670198400002,5.566e-05
1670227200011,-2.459e-05
1670256000008,5.578e-05
1670284800014,4.181e-05
1670313600027,1.389e-05
1670342400009,4.364e-05
1670371200000,8.029e-05
1670400000000,5.95e-06
1670428800000,-2.33e-06
1670457600006,6.3e-07
1670486400000,1.744e-05
1670515200014,-9.2e-07
1670544000017,0.0001
1670572800005,6.855e-05
1670601600000,4.9e-05
1670630400009,-1.674e-05
1670659200010,6.407e-05
1670688000001,6.841e-05
1670716800011,-2.288e-05
1670745600007,1.946e-05
1670774400011,1.359e-05
1670803200000,3.843e-05
1670832000004,-2.359e-05
1670860800000,-2.692e-05
1670889600000,8.949e-05
1670918400018,0.0001
1670947200011,0.0001
1670976000010,0.0001
1671004800015,0.0001
1671033600004,0.0001
1671062400000,0.0001
1671091200023,0.0001
1671120000010,0.0001
1671148800016,0.0001
1671177600011,0.0001
1671206400001,-3.78e-05
1671235200001,8.697e-05
1671264000011,-6.429e-05
1671292800011,3.413e-05
1671321600008,5.955e-05
1671350400001,7.9e-05
1671379200012,4.105e-05
1671408000000,-3.395e-05
1671436800000,5.7e-06
1671465600000,-6.01e-06
1671494400005,8.479e-05
1671523200016,4.111e-05
1671552000000,9.832e-05
1671580800007,4.626e-05
1671609600012,8.575e-05
1671638400017,6.565e-05
1671667200004,8.923e-05
1671696000000,9.813e-05
1671724800001,7.887e-05
1671753600018,7.468e-05
1671782400000,0.0001
1671811200000,-7.28e-06
1671840000001,6.767e-05
1671868800007,0.0001
1671897600008,5.27e-06
1671926400000,-3.84e-06
1671955200013,4.1e-07
1671984000000,1.343e-05
1672012800001,6.962e-05
1672041600000,1.023e-05
1672070400005,2.594e-05
1672099200005,0.0001
1672128000010,2.226e-05
1672156800006,7.546e-05
1672185600010,0.0001
1672214400010,6.253e-05
1672243200010,-2.352e-05
1672272000011,0.0001
1672300800000,5.835e-05
1672329600008,0.0001
1672358400000,0.0001
1672387200000,0.0001
1672416000000,0.0001
1672444800014,0.0001
1672473600000,0.0001
1672502400000,0.0001
1672531200000,0.0001
1672560000008,0.0001
1672588800000,0.0001
1672617600000,0.0001
1672646400008,8.878e-05
1672675200015,7.464e-05
1672704000003,8.9e-06
1672732800018,5.228e-05
1672761600000,2.948e-05
1672790400000,7.609e-05
1672819200016,0.0001
1672848000011,0.0001
1672876800009,0.0001
1672905600011,0.0001
1672934400000,0.0001
1672963200005,0.0001
1672992000001,0.0001
1673020800000,0.0001
1673049600006,5.444e-05
1673078400017,4.199e-05
1673107200000,7.19e-05
1673136000015,2.131e-05
1673164800000,8.826e-05
1673193600010,8.657e-05
1673222400003,4.312e-05
1673251200000,7.617e-05
1673280000006,0.0001
1673308800003,0.0001
1673337600021,0.0001
1673366400000,0.0001
1673395200011,0.0001
1673424000006,0.0001
1673452800004,2.778e-05
1673481600000,0.0001
1673510400000,0.0001
1673539200000,0.0001
1673568000004,0.0001
1673596800000,0.0001
1673625600018,0.0001
1673654400000,0.0001
1673683200001,0.00061643
1673712000000,0.00045951
1673740800010,0.00012412
1673769600002,0.00030426
1673798400000,0.00018878
1673827200010,0.00014183
1673856000007,0.0001
1673884800000,0.0001
1673913600004,0.0001
1673942400005,0.0001
1673971200001,0.0001
1674000000008,0.0001
1674028800009,0.0001
1674057600017,0.0001
1674086400000,0.0001
1674115200015,0.0001
1674144000012,0.0001
1674172800000,0.0001
1674201600000,0.0001
1674230400000,0.0001
1674259200013,0.0001
1674288000001,0.0001
1674316800016,0.0001
1674345600000,0.0001
1674374400000,0.0001
1674403200023,0.0001
1674432000014,0.00010356
1674460800014,0.0001
1674489600016,0.0001
1674518400008,0.0001
1674547200008,0.0001
1674576000000,0.0001
1674604800012,0.0001
1674633600000,0.0001
1674662400010,0.0001
1674691200010,0.0001
1674720000003,0.0001
1674748800020,0.0001
1674777600008,0.0001
1674806400000,0.0001
1674835200000,0.0001
1674864000009,0.0001
1674892800018,0.0001
1674921600005,0.0001
1674950400011,0.0001
1674979200000,0.0001
1675008000008,0.0001
1675036800001,0.0001
1675065600000,0.0001
1675094400000,0.0001
1675123200005,0.0001
1675152000000,0.0001
1675180800007,0.0001
1675209600013,0.0001
1675238400000,0.0001
1675267200012,0.0001
1675296000004,0.0001
1675324800023,0.0001
1675353600003,0.0001
1675382400010,0.0001
1675411200000,0.0001
1675440000000,0.0001
1675468800010,0.0001
1675497600000,0.0001
1675526400000,0.0001
1675555200016,0.0001
1675584000009,0.0001
1675612800018,0.0001
1675641600001,0.0001
1675670400000,0.0001
1675699200012,0.0001
1675728000004,0.0001
1675756800011,0.0001
1675785600018,0.0001
1675814400009,0.0001
1675843200010,0.0001
1675872000000,0.0001
1675900800014,0.0001
1675929600006,0.0001
1675958400001,0.0001
1675987200012,0.0001
1676016000005,6.828e-05
1676044800020,0.0001
1676073600007,6.47e-05
1676102400002,3.345e-05
1676131200021,-2.491e-05
1676160000004,8.869e-05
1676188800000,3.225e-05
1676217600002,4.579e-05
1676246400006,2.555e-05
1676275200008,5.994e-05
1676304000002,0.0001
1676332800013,-4.54e-06
1676361600014,4.405e-05
1676390400016,5.311e-05
1676419200011,2.91e-05
1676448000000,2.81e-05
1676476800005,5.715e-05
1676505600019,0.0001
1676534400000,0.0001
1676563200001,0.00014101
1676592000003,0.0001
1676620800016,0.0001
1676649600000,0.0001
1676678400011,0.0001
1676707200000,0.0001
1676736000007,0.0001
1676764800019,0.0001
1676793600005,0.0001
1676822400003,0.0001
1676851200006,0.0001
1676880000008,0.0001
1676908800006,0.0001
1676937600001,0.0001
1676966400004,0.0001
1676995200011,0.0001
1677024000009,0.0001
1677052800010,0.0001
1677081600000,0.0001
1677110400006,7.072e-05
1677139200005,9.829e-05
1677168000002,4.374e-05
