close_time,type,volume,price,sl,tp,profit,swap,commission,comment
2026.03.04 16:56,BUY_close,0.02,5139.28,5140.77,5419.26,-64.10,0.00,0.00,sl 5140.77
2026.03.04 16:56,BUY_close,0.02,5139.28,5140.71,5419.26,-64.10,0.00,0.00,sl 5140.71
2026.03.05 15:16,BUY_close,0.05,5139.81,5140.04,5419.26,-81.10,0.00,0.00,sl 5140.04
2026.03.13 21:47,SELL_close,0.02,5014.23,5143.44,5014.71,200.48,0.00,0.00,tp 5014.71
2026.03.18 12:35,SELL_close,0.03,4967.37,5048.97,4967.62,171.00,-0.14,0.00,tp 4967.62
2026.03.18 12:35,BUY_close,0.02,4962.95,4963.47,5238.55,-66.22,-0.50,0.00,sl 4963.47
2026.03.25 21:08,BUY_close,0.01,4520.46,4521.03,5044.53,-47.42,0.00,0.00,sl 4521.03
2026.03.27 16:50,SELL_close,0.02,4480.31,4480.30,4098.53,-84.64,0.00,0.00,sl 4480.30
2026.04.07 17:06,BUY_close,0.01,4615.43,4615.63,4800.45,-44.53,0.00,0.00,sl 4615.63
2026.04.13 16:50,SELL_close,0.06,4744.54,4744.47,4585.32,-81.78,0.00,0.00,sl 4744.47
2026.04.21 09:00,BUY_close,0.05,4781.70,4781.71,4889.64,-83.95,-0.63,0.00,sl 4781.71
2026.04.23 03:10,BUY_close,0.02,4711.44,4711.92,4889.64,-67.36,-0.76,0.00,sl 4711.92
2026.05.01 18:14,SELL_close,0.09,4635.18,4635.10,4510.02,-77.76,0.00,0.00,sl 4635.10
2026.05.01 20:53,SELL_close,0.12,4635.12,4635.11,4510.02,-84.12,0.00,0.00,sl 4635.11
2026.05.04 19:08,SELL_close,0.01,4509.90,4635.56,4510.02,64.58,0.00,0.00,tp 4510.02
2026.05.04 19:08,SELL_close,0.01,4509.90,4635.70,4510.02,64.58,0.00,0.00,tp 4510.02
2026.05.07 09:39,BUY_close,0.02,4740.35,4529.40,4740.29,354.74,-1.01,0.00,tp 4740.29
2026.05.14 16:37,BUY_close,0.05,4680.86,4680.91,4773.42,-78.00,0.00,0.00,sl 4680.91
2026.05.18 03:33,SELL_close,0.02,4500.70,4734.24,4500.98,393.46,-0.46,0.00,tp 4500.98
2026.05.18 03:33,SELL_close,0.02,4500.70,4734.44,4500.98,393.46,-0.46,0.00,tp 4500.98
2026.05.19 16:04,BUY_close,0.03,4522.42,4522.56,4773.42,-76.29,-0.38,0.00,sl 4522.56
2026.05.25 02:13,SELL_close,0.03,4575.62,4575.60,4453.52,-72.33,-0.28,0.00,sl 4575.60
2026.05.26 03:01,BUY_close,0.08,4550.89,4551.04,4589.24,-77.44,-1.01,0.00,sl 4551.04
2026.05.26 20:58,BUY_close,0.02,4491.64,4491.72,4773.42,-59.94,-0.50,0.00,sl 4491.72
2026.06.05 16:59,SELL_close,0.07,4366.39,4538.36,4366.52,1127.84,-1.61,0.00,tp 4366.52
